Type,MAT,TS,CT,TM,Shape,Size,Zeta Potential,Admin,DE_tumor
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Plate,1.3852514100423612,-0.3940916923613149,5.162039451670427,0.21650244639956165
INM,Silica,Active,Cervix,Xenograft Heterotopic,Spherical,1.9055366554663336,-19.49689457853839,11.104413383065173,5.232270082552395
ONM,Polymeric,Active,Cervix,Xenograft Heterotopic,Spherical,2.166203342396941,-17.644688736106133,3.2841641367726657,0.7356024268280836
INM,Gold,Active,Cervix,Xenograft Heterotopic,Others,1.7703804810043746,-5.907883591367856,5.440046170682931,6.344696747973371
INM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,2.0917874195006907,-20.776618325769043,34.45063822822672,0.43993225152372684
INM,Iron Oxide,Passive,Brain,Xenograft Orthotopic,Spherical,1.9189641488294333,-10.276111151845559,12.076183863587747,6.347891924427992
ONM,Dendrimer,Passive,Skin,Xenograft Heterotopic,Spherical,2.0877918714013646,-0.7139170283534853,54.93395507840742,2.1651154465715567
ONM,Hydrogel,Passive,Brain,Xenograft Orthotopic,Spherical,0.7010714541415762,-6.181762498586419,6.326190502220175,0.3778307826729843
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Plate,2.2954181534346936,-1.3016846962127624,4.696815822128516,0.10475562773123093
INM,Gold,Active,Prostate,Xenograft Heterotopic,Others,0.5428672220543963,-6.7817530706916385,4.147101238794355,4.947865994900865
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,2.1537266288975414,2.772664397558767,6.039589797226803,0.20977878961238802
ONM,Liposome,Passive,Breast,Xenograft Heterotopic,Spherical,2.2095449387071175,-20.972716544622344,5.736825688168015,0.21343684310953354
INM,Other IM,Active,Skin,Xenograft Orthotopic,Rod,1.0685046328473962,-17.74778691909779,5.01676162429317,8.17127037157483
ONM,Polymeric,Active,Skin,Xenograft Orthotopic,Spherical,1.788649903291692,-1.0667446732493135,4.999057133653925,0.15601918155106684
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Spherical,2.367996167670984,38.366599467900905,3.35232547410813,0.000174073
INM,Other OM,Passive,Brain,Xenograft Heterotopic,Rod,1.8165861815239623,-1.7050720679852294,1.2933593037614752,0.3433447787900051
ONM,Other OM,Active,Skin,Xenograft Orthotopic,Spherical,2.087730221843358,-54.4390001650349,4.009097325198947,0.07684709085983019
